,10 Hz,20 Hz,40 Hz,100 Hz
phaseplaneparameter_EO,0.3141718549862056,0.3065431517346119,0.2872444833371037,0.28229507477628
peak_velocity_forward_EC,0.8129126737377761,0.9207410692868332,0.8644947425377935,0.8455807497925617
peak_velocity_forward_EO,-0.0692676533447434,-0.017882681575580754,-0.0418846041427124,-0.03568136972465839
peak_velocity_backward_EC,0.7060218553974008,0.757867072373754,0.72527701991119,0.7342771355456008
peak_velocity_backward_EO,-0.06060403229198127,-0.007944949292988418,-0.061133589600336546,-0.0913097721881826
peak_velocity_left_EC,0.8149773327254022,0.861981500131737,0.8273260865461114,0.8269091723544709
peak_velocity_left_EO,0.25038493410108836,0.21177822551694986,0.1851839468809015,0.15223633750145327
peak_velocity_right_EC,0.683701401670151,0.7377784802200331,0.7891191467254876,0.7915459377286702
peak_velocity_right_EO,0.1976564135952732,0.15805472676776078,0.1444173404700367,0.1269190548036475
bandpower_2-4_ML_EC,0.2978367170079475,0.2929479949199583,0.29054526498659733,0.2866971696314023
bandpower_2-4_ML_EO,-0.5893892413930734,-0.5812076463399403,-0.5795179402749764,-0.5804448527705531
bandpower_2-4_AP_EC,-0.09077548675250839,-0.08719381446874873,-0.08770235094540292,-0.08962872579303244
bandpower_2-4_AP_EO,-0.4331180555619652,-0.41252454870490035,-0.40245867528687906,-0.3987493635288988
bandpower_4-7_ML_EC,0.27242262718596144,0.3457900732421939,0.3474492524231943,0.34627170515057365
bandpower_4-7_ML_EO,-0.4498969493651963,-0.048258290657993225,-0.0332320937661321,-0.031063972489156676
bandpower_4-7_AP_EC,0.2798714311229094,0.42624333557481214,0.4341158753383613,0.4352676718215546
bandpower_4-7_AP_EO,-0.3028496042638172,-0.09530746037741972,-0.07605614858772411,-0.061667904092283725
frequency95_ML_EC,0.27291534002673723,0.29440591331653027,0.29440591331653027,0.2944059133165302
frequency95_ML_EO,-0.33842588856118644,-0.3040912445340945,-0.3162731255920299,-0.31144855821687856
frequency95_AP_EC,0.015833942769585392,0.07032064624938617,0.06915416358937965,0.0745431851608198
frequency95_AP_EO,-0.6473129429624008,-0.6409089958223766,-0.629612422513293,-0.6031294085708854
frequency90_ML_EC,0.3406922772331657,0.3404843550203787,0.34218902000008933,0.35009122958464023
frequency90_ML_EO,-0.24275392994966907,-0.2465478273001394,-0.2618528741001067,-0.26185287410010605
frequency90_AP_EC,0.12503324962310675,0.12409032023952762,0.11625222095406526,0.12464334898854526
frequency90_AP_EO,-0.457064013939735,-0.4852076327551546,-0.46709018545327796,-0.4565867866851236
frequency85_ML_EC,0.5541114056025228,0.5401744596302891,0.5400652884433237,0.5526109376151798
frequency85_ML_EO,-0.17662415059650793,-0.18850972396527216,-0.18850972396527216,-0.19479117628862264
frequency85_AP_EC,0.11871397550770153,0.13536419487432078,0.1279775332678223,0.13414362919030193
frequency85_AP_EO,-0.2354353579315508,-0.2346992182707498,-0.2388464094282104,-0.23744519753118007
frequency80_ML_EC,0.6574863668089996,0.6597639095099358,0.6597639095099358,0.6563926853461002
frequency80_ML_EO,-0.16993325027094341,-0.1637191656105047,-0.14545516184632917,-0.1454551618463291
frequency80_AP_EC,0.15538170084937988,0.15505599504167267,0.15505599504167267,0.15505599504167322
frequency80_AP_EO,-0.19504640382826202,-0.20339347769195767,-0.20339347769195767,-0.17700417540259897
frequency70_ML_EC,0.8307661354358774,0.835158634120322,0.8270899506957639,0.8270899506957637
frequency70_ML_EO,-0.17317163108659145,-0.15923546945634243,-0.15923546945634243,-0.1592354694563425
frequency70_AP_EC,0.14078104952233764,0.15234064034300118,0.14777213132558742,0.15619622381396345
frequency70_AP_EO,-0.12356913456242781,-0.11735114095335206,-0.11735114095335206,-0.11735114095335246
totalenergy_ML_EC,0.3476272542438531,0.34761687821208426,0.3475616672292894,0.34754402527690764
totalenergy_ML_EO,0.4736756740220935,0.473768426487964,0.47353557026292875,0.473439009364133
totalenergy_AP_EC,0.8777096790924006,0.8804726880579253,0.8800486314403031,0.8798965154337033
totalenergy_AP_EO,0.2280096490537247,0.22858712522383984,0.22878482867236222,0.22888842053798228
DTXC_EC,0.2794943687188073,0.28485902107035344,0.28697674986335264,0.28861747584755054
DTXC_EO,0.7596884359371494,0.7613776193173923,0.7620535748119087,0.7625343399127323
DTYC_EC,0.3505091214485388,0.35398883070146875,0.3551799768286021,0.3558574284486991
DTYC_EO,0.39944070886683836,0.40335534410685536,0.40444781945521896,0.4053178802522823
DTRC_EC,0.47321345107467644,0.47710135107982204,0.4780959288472713,0.47849239632239154
DTRC_EO,0.5530363747436647,0.5577222115464994,0.5588388705634162,0.5596169298051679
X2_EC,0.716356264710324,0.7097848565482126,0.7070806717452851,0.7058086985083136
X2_EO,0.3135274513948682,0.3062524885846256,0.31104127964512546,0.3149985076632323
Y2_EC,0.6668725720161596,0.6719853668373781,0.6659667615704185,0.668235035573096
Y2_EO,0.2504088984781707,0.26222558488495257,0.2606838588433716,0.2619710013470868
R2_EC,0.6184940993881349,0.6054496645212746,0.5954429069010193,0.5898410897157665
R2_EO,0.3918978665415989,0.4014443908354171,0.4025649404901083,0.40436407889863774
DXS_EC,0.7556059292024595,0.7558361565482402,0.7556781225293798,0.7555720931895841
DXS_EO,0.2858330416496416,0.28453482427536914,0.2841138895635522,0.28382551826226493
DYS_EC,0.8194840358276061,0.8153320590134868,0.8142754457143341,0.8134633901560757
DYS_EO,0.02867772589767004,0.03137600127621956,0.03264391344893305,0.03352088877715358
DRS_EC,0.9478898616527484,0.9442661474779457,0.9431482336167337,0.9422982359057934
DRS_EO,0.18419471558695702,0.1887504072623456,0.19031877304801784,0.19137689076108724
HXS_EC,-0.10033807379443718,-0.15954249764882952,-0.15860396478427521,-0.1502358208764694
HXS_EO,0.4787401816176026,0.17689978151327282,0.16387300032896873,0.16428520998208945
HYS_EC,-0.06880093692921276,-0.23513408986012743,-0.1556744474788878,-0.1421014963495421
HYS_EO,0.4024016611915857,0.22460694305046724,0.28458791100813746,0.2902252579980767
HRS_EC,-0.06275960429232043,-0.19772793775452827,-0.13625176999430788,-0.12386422602407242
HRS_EO,0.4472721866819926,0.2509033917536418,0.2950440444351421,0.2989519528527751
DXL_EC,0.2819387680328786,0.28192486425067126,0.281916434927783,0.2819110717485764
DXL_EO,0.3010266627382918,0.2997065265257416,0.2989245357086729,0.2984629708168288
DYL_EC,0.6478794213558398,0.6491627544795072,0.6497002350600315,0.6499982400165628
DYL_EO,0.2568407017872734,0.25896427489763746,0.25998288871976505,0.26060555250693557
DRL_EC,0.3345974111753323,0.3345257323236548,0.3344726303552406,0.3344374672589432
DRL_EO,0.3837418258801464,0.3837100983509298,0.38353975641259275,0.3834523789759966
HXL_EC,-0.15986189271890094,-0.16547181182809034,-0.16707995819565957,-0.16784958774445383
HXL_EO,0.25502390780686024,0.24734880142353471,0.2439347865831324,0.2419477399546674
HYL_EC,0.3774717243143293,0.3732128339216532,0.3732988969291111,0.37322221620961304
HYL_EO,0.4321423322376699,0.43438187385558774,0.43577220611260525,0.4363718294815837
HRL_EC,0.33318254247316814,0.3292851281152041,0.32889718899407905,0.3285900149504749
HRL_EO,0.5213523827480037,0.5223755685042969,0.5233132434986763,0.5237016263830206
fractaldimension_EC,1.1899246214681807,1.2104739896117263,1.2321096574837196,1.244206450276365
fractaldimension_EO,0.6074093167995422,0.6032279954139347,0.6041204447931778,0.6214662728350681
covariance_EC,0.1484576875007218,0.14872959737637823,0.14861582564302875,0.14854025510893792
covariance_EO,0.08772248407017633,0.08715616277709934,0.08662382692746809,0.08630698769506752
swayvector_angle_EC,-0.5724709035174903,-0.5400394659358515,-0.6502939550899974,-0.6577252597292218
swayvector_angle_EO,-0.3918798413733512,-0.3874620506267485,-0.47042449617178544,-0.482366128310276
sample_entropy_ML_EC,0.25921949183779375,0.38818468752311264,0.44678983734969724,0.4311474837922768
sample_entropy_ML_EO,-0.39060187345641983,-0.23702588013414416,-0.24988066142370494,-0.30488996680979835
sample_entropy_AP_EC,-0.13600906160480344,-0.01987191735149988,0.013816068321509655,0.024796233734729323
sample_entropy_AP_EO,-0.38861027066516696,-0.33702079009097613,-0.2890520603154762,-0.3075913571483046
DLE_ML_EC,0.4640741924119062,0.31693866979571444,-0.04025693902574204,0.13252409354973713
DLE_ML_EO,0.2104803342465165,0.003073197763906861,0.02473794125900442,-0.2508325890250909
DLE_AP_EC,0.08365716518056858,-0.20316328757483412,-0.3858454186164667,0.08731703860460722
DLE_AP_EO,0.3861573550730042,0.13711376572353715,0.09341875314627271,-0.1723792084540657
%recurrence_ML_EC,-0.2948433553708615,-0.678603519926356,-0.42455665851307245,-0.43065491880317175
%recurrence_ML_EO,0.641512489291816,0.25135850669511467,0.1780285438769835,-0.19615059198987883
%recurrence_AP_EC,-0.06759135947438902,-0.011093973168899924,0.24327961877380452,0.4064775922366107
%recurrence_AP_EO,0.23133877960471694,-0.4386205144680689,0.15163443914329153,0.07880585538314679
%determinism_ML_EC,-0.1411379037082249,-0.2785540527371543,-0.2981123115083462,-0.1822880347754466
