,10 Hz,20 Hz,40 Hz,100 Hz
peak_velocity_backward_EC,0.7444444444444444,0.711111111111111,0.7844444444444444,0.7488888888888889
peak_velocity_backward_EO,0.5066666666666666,0.4311111111111113,0.5177777777777778,0.5355555555555556
peak_velocity_left_EC,0.7555555555555555,0.788888888888889,0.6644444444444445,0.6911111111111111
peak_velocity_left_EO,0.448888888888889,0.33555555555555555,0.3,0.3555555555555557
peak_velocity_right_EC,0.7022222222222223,0.6866666666666668,0.7022222222222223,0.7466666666666667
peak_velocity_right_EO,0.4488888888888889,0.28222222222222226,0.2977777777777778,0.3244444444444444
bandpower_2-4_ML_EC,0.44666666666666666,0.44222222222222224,0.5066666666666667,0.4288888888888889
bandpower_2-4_ML_EO,0.6422222222222222,0.5911111111111111,0.5911111111111113,0.5822222222222223
bandpower_2-4_AP_EC,0.6311111111111112,0.5866666666666667,0.5911111111111111,0.6266666666666667
bandpower_2-4_AP_EO,0.6044444444444445,0.6555555555555556,0.711111111111111,0.7244444444444446
bandpower_4-7_ML_EC,0.5555555555555556,0.66,0.6200000000000001,0.58
bandpower_4-7_ML_EO,0.4533333333333334,0.4311111111111111,0.4000000000000001,0.3555555555555555
bandpower_4-7_AP_EC,0.42444444444444446,0.4844444444444445,0.5444444444444445,0.47111111111111115
bandpower_4-7_AP_EO,0.6355555555555555,0.4711111111111112,0.5044444444444445,0.5022222222222223
frequency95_ML_EC,0.5066666666666666,0.5433333333333333,0.5433333333333333,0.5411111111111111
frequency95_ML_EO,0.5022222222222222,0.4644444444444444,0.5422222222222223,0.5333333333333334
frequency95_AP_EC,0.4455555555555556,0.37222222222222223,0.37222222222222223,0.40333333333333343
frequency95_AP_EO,0.6077777777777779,0.6233333333333333,0.6055555555555555,0.5766666666666667
frequency90_ML_EC,0.36666666666666675,0.3122222222222223,0.32777777777777783,0.3211111111111111
frequency90_ML_EO,0.5633333333333334,0.4311111111111111,0.45777777777777784,0.45777777777777784
frequency90_AP_EC,0.33333333333333337,0.33666666666666667,0.3677777777777778,0.3944444444444445
frequency90_AP_EO,0.4966666666666667,0.4511111111111112,0.4555555555555556,0.5277777777777777
frequency85_ML_EC,0.6866666666666668,0.5944444444444444,0.6399999999999999,0.6422222222222221
frequency85_ML_EO,0.48555555555555563,0.45777777777777773,0.45777777777777773,0.4600000000000001
frequency85_AP_EC,0.36888888888888893,0.4255555555555556,0.4166666666666667,0.36888888888888893
frequency85_AP_EO,0.58,0.5866666666666668,0.5844444444444444,0.5766666666666667
frequency80_ML_EC,0.6044444444444446,0.6322222222222222,0.6322222222222222,0.6366666666666668
frequency80_ML_EO,0.49444444444444446,0.4833333333333334,0.5522222222222222,0.5522222222222222
frequency80_AP_EC,0.22222222222222224,0.28222222222222226,0.28222222222222226,0.28
frequency80_AP_EO,0.5355555555555556,0.5977777777777777,0.5977777777777777,0.49333333333333335
frequency70_ML_EC,0.5466666666666666,0.6011111111111112,0.6044444444444446,0.6044444444444446
frequency70_ML_EO,0.6544444444444444,0.6200000000000001,0.6200000000000001,0.6200000000000001
frequency70_AP_EC,0.558888888888889,0.5033333333333333,0.51,0.5344444444444445
frequency70_AP_EO,0.25666666666666665,0.3355555555555556,0.3355555555555556,0.3355555555555556
totalenergy_ML_EC,0.5444444444444445,0.54,0.54,0.54
totalenergy_ML_EO,0.4000000000000001,0.41111111111111115,0.41111111111111115,0.41111111111111115
totalenergy_AP_EC,0.7799999999999999,0.8044444444444444,0.7977777777777777,0.7977777777777777
totalenergy_AP_EO,0.5844444444444445,0.6088888888888888,0.6088888888888888,0.6088888888888888
DTXC_EC,0.4133333333333334,0.37111111111111117,0.36888888888888893,0.37555555555555553
DTXC_EO,0.5911111111111111,0.5777777777777777,0.5755555555555556,0.5777777777777777
DTYC_EC,0.7133333333333333,0.7244444444444443,0.7333333333333334,0.7311111111111112
DTYC_EO,0.6044444444444446,0.64,0.6266666666666667,0.6155555555555556
DTRC_EC,0.6355555555555557,0.6577777777777778,0.6511111111111111,0.6555555555555556
DTRC_EO,0.6133333333333334,0.6,0.5844444444444443,0.5822222222222221
X2_EC,0.6333333333333335,0.6022222222222222,0.6244444444444445,0.6266666666666667
X2_EO,0.4844444444444445,0.5022222222222223,0.528888888888889,0.5377777777777778
Y2_EC,0.7288888888888889,0.7244444444444446,0.7155555555555557,0.708888888888889
Y2_EO,0.7066666666666668,0.7000000000000002,0.7111111111111112,0.7133333333333335
R2_EC,0.7911111111111111,0.7555555555555554,0.72,0.7288888888888889
R2_EO,0.6777777777777778,0.7000000000000001,0.6933333333333335,0.6977777777777778
DXS_EC,0.76,0.76,0.7577777777777778,0.7533333333333333
DXS_EO,0.48888888888888893,0.49111111111111116,0.5177777777777777,0.5177777777777777
DYS_EC,0.7466666666666667,0.7244444444444444,0.7155555555555556,0.7177777777777778
DYS_EO,0.3711111111111111,0.38666666666666666,0.39333333333333337,0.4111111111111111
DRS_EC,0.7377777777777778,0.76,0.76,0.7577777777777779
DRS_EO,0.3733333333333334,0.3711111111111111,0.3711111111111111,0.3666666666666667
HXS_EC,0.46444444444444455,0.33777777777777784,0.34444444444444444,0.3266666666666667
HXS_EO,0.6244444444444445,0.5822222222222223,0.5111111111111112,0.4511111111111112
HYS_EC,0.5111111111111112,0.5466666666666666,0.5266666666666666,0.5111111111111112
HYS_EO,0.5377777777777778,0.5088888888888891,0.4111111111111111,0.36888888888888893
HRS_EC,0.6177777777777778,0.4333333333333334,0.4288888888888889,0.45111111111111113
HRS_EO,0.5244444444444445,0.6022222222222223,0.5844444444444444,0.5622222222222222
DXL_EC,0.7422222222222222,0.74,0.7422222222222222,0.7288888888888889
DXL_EO,0.3666666666666667,0.44222222222222224,0.45777777777777773,0.45555555555555555
DYL_EC,0.6822222222222223,0.6755555555555557,0.6733333333333335,0.6733333333333335
